Word,uniqueID,heavy_freq_1,heavy_freq_2,heavy_freq_3,heavy_freq_4,heavy_freq_5,heavy_freq_6,heavy_freq_7
siren,siren,2,1,5,5,10,9,4
skateboard,skateboard,11,10,8,2,7,1,0
skeleton,skeleton,4,5,9,2,8,7,1
skewer,skewer,29,6,1,0,1,0,0
ski,ski,1,9,11,0,12,3,1
ski boots,ski_boots,1,3,4,4,22,2,0
ski lift,ski_lift,0,0,0,0,6,6,27
ski pole,ski_pole,10,13,4,7,2,1,0
skin,skin,5,14,4,11,1,1,1
skirt,skirt,24,9,4,1,1,0,0
skull,skull,4,6,9,3,9,4,1
skunk,skunk,6,18,8,4,1,1,0
sled,sled,2,2,8,1,18,7,1
sledgehammer,sledgehammer,0,1,1,0,3,21,11
sleeping bag,sleeping_bag,12,8,5,3,5,3,0
slicer,slicer,2,1,0,1,9,16,11
slide,slide,0,0,1,1,7,13,17
slime,slime,22,11,0,4,1,0,0
sling,sling,31,6,1,0,0,0,0
slingshot,slingshot,22,11,1,2,2,0,0
slipper,slipper,30,4,0,0,2,0,0
slot,slot,12,6,7,7,5,0,1
slot machine,slot_machine,0,0,0,1,3,12,20
sloth,sloth,0,2,2,8,11,11,3
slug,slug,30,6,2,1,0,0,0
smoke alarm,smoke_alarm,30,4,2,2,1,0,0
smoothie,smoothie,16,15,3,0,2,0,1
snack,snack,15,14,6,1,3,0,0
snail,snail,23,11,2,1,0,1,0
snake,snake,1,5,8,9,13,2,1
snorkel,snorkel,17,14,3,1,2,1,0
snow,snow,3,3,4,13,7,7,1
snowball,snowball,17,12,3,2,1,2,1
snowboard,snowboard,4,8,7,1,14,2,2
snowman,snowman,0,2,1,2,13,15,4
snowmobile,snowmobile,0,0,0,0,1,10,27
snowplow,snowplow,0,0,0,0,1,5,28
snowshoe,snowshoe,8,9,9,3,6,3,0
snowsuit,snowsuit,8,14,8,1,7,1,0
soap,soap,18,14,3,4,0,0,0
soccer ball,soccer_ball,15,12,3,2,4,0,0
sock,sock,33,3,1,1,0,0,0
soda,soda,20,10,2,6,1,0,0
soda fountain,soda_fountain,1,1,0,1,4,11,19
sofa bed,sofa_bed,0,0,0,0,7,17,14
solar panel,solar_panel,0,0,0,3,6,20,9
soldering iron,soldering_iron,4,11,7,3,8,2,1
sombrero,sombrero,15,19,3,1,1,0,0
sonogram,sonogram,16,3,2,9,5,3,0
sorbet,sorbet,22,13,2,1,0,0,0
souffle,souffle,25,7,3,2,1,1,0
soup,soup,10,12,8,1,4,1,0
soy sauce,soy_sauce,18,11,5,2,1,0,1
space shuttle,space_shuttle,0,0,0,0,0,0,38
spacesuit,spacesuit,1,2,1,4,14,10,6
spaghetti,spaghetti,23,10,2,0,1,1,1
spam,spam,15,13,2,4,2,1,0
spareribs,spareribs,6,12,4,5,8,1,0
spark plug,spark_plug,16,13,4,4,1,0,1
sparkler,sparkler,28,7,2,0,0,0,0
spatula,spatula,23,11,1,1,0,0,0
speaker,speaker,1,0,0,3,10,19,7
spear,spear,3,5,5,5,13,7,0
speedboat,speedboat,0,0,0,0,1,5,30
speedometer,speedometer,13,10,4,8,1,0,0
spider,spider,26,9,0,2,0,1,0
spider web,spider_web,29,6,1,0,0,1,0
spinach,spinach,27,5,1,1,0,2,0
splinter,splinter,25,8,0,1,0,0,0
sponge,sponge,20,10,2,2,1,1,1
spool,spool,8,14,6,6,3,0,0
spoon,spoon,25,10,0,2,0,0,0
spout,spout,4,10,3,13,5,3,1
spring roll,spring_roll,24,10,2,0,1,0,0
springboard,springboard,1,2,5,4,16,8,2
sprinkler,sprinkler,3,9,8,5,9,4,1
sprouts,sprouts,23,9,4,1,0,0,0
spur,spur,14,10,2,5,7,1,0
squash,squash,4,15,4,3,9,2,1
squeegee,squeegee,16,13,5,2,1,0,1
squid,squid,10,9,7,4,7,3,0
squirrel,squirrel,22,12,2,3,0,0,0
squirt gun,squirt_gun,4,14,11,5,2,2,0
stained glass,stained_glass,0,1,0,0,9,18,6
stair,stair,1,0,1,2,5,14,12
stake,stake,15,13,3,2,3,3,0
stalagmite,stalagmite,0,0,0,3,4,12,17
stamp,stamp1,32,7,0,0,0,0,0
stamp,stamp2,22,12,1,2,0,0,0
staple,staple,37,2,1,0,0,0,0
staple gun,staple_gun,5,8,7,5,7,0,0
stapler,stapler,11,18,4,2,4,0,0
star fruit,star_fruit,14,17,4,3,0,0,0
starfish,starfish,14,11,8,4,2,0,1
station wagon,station_wagon,1,0,0,0,0,8,30
statue,statue,0,0,0,0,1,4,32
steak,steak,6,14,8,5,4,0,0
steamroller,steamroller,0,0,0,0,0,2,37
steering wheel,steering_wheel,9,8,8,1,8,1,0
stem,stem,18,11,4,3,2,0,0
step stool,step_stool,7,10,2,6,10,2,0
stereo,stereo,1,1,4,7,15,9,1
stethoscope,stethoscope,22,9,3,2,2,0,0
stew,stew,13,13,3,4,3,1,1
stick,stick,8,16,8,7,0,1,0
sticker,sticker,31,5,1,0,0,0,0
stiletto,stiletto,19,9,2,4,2,0,0
stilt,stilt,3,8,9,4,9,2,0
stingray,stingray,1,1,2,1,18,11,3
stir fry,stir_fry,23,14,2,0,0,0,0
stirrup,stirrup,7,9,7,1,7,5,0
stockings,stockings,30,7,1,0,0,0,0
stomach,stomach,1,5,4,18,5,4,0
stool,stool,1,3,8,9,11,4,1
stopwatch,stopwatch,25,9,3,0,0,0,0
stove,stove1,0,1,0,0,1,6,28
stove,stove2,0,0,0,1,2,13,24
straightjacket,straightjacket,5,10,5,7,7,2,1
strainer,strainer,14,15,5,3,0,0,0
strap,strap,22,10,3,0,1,1,0
straw,straw1,17,10,7,2,3,0,0
straw,straw2,36,1,0,1,0,0,0
strawberry,strawberry,31,6,1,0,0,0,0
streetlight,streetlight,0,0,0,0,5,11,21
stretcher,stretcher,1,0,1,4,13,10,8
string cheese,string_cheese,23,11,2,0,1,0,0
stroller,stroller,1,6,6,1,12,6,4
stuffing,stuffing,18,8,6,6,2,0,0
stump,stump,0,0,0,1,4,13,21
submarine,submarine,0,0,0,0,0,2,35
subway,subway,0,0,0,1,3,7,26
sugar cube,sugar_cube,26,6,1,0,0,1,0
suit,suit,10,11,8,5,2,1,0
suitcase,suitcase,3,3,3,4,16,6,3
sundae,sundae,10,18,2,4,3,1,0
sundial,sundial,1,2,1,6,11,13,5
sunflower,sunflower,13,13,8,2,3,1,0
sunglasses,sunglasses,29,7,0,0,0,0,0
sunroof,sunroof,0,4,4,7,17,5,3
surfboard,surfboard,1,3,3,3,17,7,2
sushi,sushi,22,15,0,0,1,0,0
suspenders,suspenders,20,16,2,0,0,0,0
swab,swab,30,7,1,0,0,0,0
swan,swan,3,5,6,7,12,4,0
sweater,sweater,15,13,1,1,5,0,0
sweatsuit,sweatsuit,18,8,6,1,2,0,0
sweeper,sweeper,9,11,12,2,5,0,0
sweet potato,sweet_potato,12,13,4,1,6,0,0
swimming pool,swimming_pool,1,0,1,3,3,10,15
swimsuit,swimsuit,29,7,1,0,0,0,0
swing,swing,2,7,5,3,6,9,7
swing set,swing_set,0,0,0,0,3,11,25
switch,switch,11,11,6,5,3,2,1
swizzle stick,swizzle_stick,23,11,0,0,1,0,0
sword,sword,0,5,5,1,11,10,2
swordfish,swordfish,0,0,1,1,0,16,20
syringe,syringe,27,8,2,0,0,0,0
syrup,syrup,7,10,8,5,6,1,0
t-shirt,t-shirt,27,8,1,0,1,0,0
tab,tab,34,2,0,0,0,0,0
table,table,0,0,0,1,15,18,6
tablecloth,tablecloth,26,10,2,0,1,0,0
tablet,tablet,12,12,8,3,2,1,0
tack,tack,29,4,1,1,0,0,0
tackle,tackle,16,12,2,3,3,0,1
taco,taco,20,14,2,0,1,1,0
tadpole,tadpole,32,3,1,0,1,1,0
taffy,taffy,26,10,2,0,0,0,0
tag,tag,33,3,0,0,0,0,0
taillight,taillight,9,10,9,5,4,0,0
tamale,tamale,14,16,4,1,0,0,0
tambourine,tambourine,11,17,3,1,1,0,0
tank,tank1,1,0,0,0,0,3,35
tank,tank2,0,0,0,0,4,17,14
tape,tape,27,9,0,1,2,0,0
tape measure,tape_measure,15,12,5,2,3,1,0
tape recorder,tape_recorder,6,16,5,3,6,1,0
tapestry,tapestry,11,7,6,3,9,3,0
tarantula,tarantula,19,14,3,4,0,0,0
target,target,2,3,4,7,13,7,1
tarp,tarp,13,4,3,4,10,3,1
tattoo,tattoo,27,9,1,1,0,2,0
taxi,taxi,0,0,0,0,1,5,33
tea,tea,21,11,2,2,0,0,0
teabag,teabag,27,9,1,0,0,0,0
teacup,teacup,21,13,3,0,1,0,0
teapot,teapot,9,8,4,4,11,0,0
teddy bear,teddy_bear,26,8,0,1,0,0,0
tee,tee,35,4,0,0,0,0,0
teepee,teepee,0,1,6,4,10,12,4
telegraph,telegraph,7,7,3,5,9,7,1
telephone pole,telephone_pole,0,0,0,0,0,7,30
telescope,telescope,0,0,5,7,17,6,3
television,television,0,0,0,2,12,14,12
tennis ball,tennis_ball,24,15,0,0,0,0,0
tent,tent,1,6,6,7,12,5,0
terrarium,terrarium,9,8,7,4,7,2,0
test tube,test_tube,27,6,1,3,2,0,0
thermometer,thermometer,21,10,3,2,0,0,0
thermos,thermos,11,12,3,4,5,3,0
thermostat,thermostat,15,17,1,0,0,0,0
thimble,thimble,27,5,4,1,0,0,0
thorn,thorn,19,8,3,0,1,1,0
thread,thread,30,6,1,1,1,0,0
throne,throne,0,0,0,0,5,17,16
thumb,thumb,24,10,2,3,0,0,1
thumbtack,thumbtack,29,7,0,0,0,0,0
tiara,tiara,18,10,3,5,0,1,0
tick,tick,30,4,1,1,0,0,0
ticktacktoe,ticktacktoe,33,5,0,1,0,0,0
tie,tie,27,8,1,1,0,0,0
tiger,tiger,0,0,0,0,2,9,26
tile,tile,2,5,5,2,11,9,2
timer,timer,24,11,3,0,1,0,0
tinsel,tinsel,27,6,1,0,0,0,0
tiramisu,tiramisu,20,14,3,1,1,0,0
toad,toad,14,12,7,0,5,0,0
toast,toast,25,9,1,0,2,0,0
toaster,toaster,6,14,7,5,6,0,0
toaster oven,toaster_oven,0,4,7,5,11,6,5
toe,toe,21,6,5,3,1,0,0
toga,toga,22,9,4,1,0,0,0
toilet,toilet,0,1,0,0,9,9,15
toilet paper,toilet_paper,29,8,0,0,0,0,0
tomato,tomato,14,20,3,0,0,0,0
tomato sauce,tomato_sauce,12,14,5,2,2,0,1
tongs,tongs,18,12,3,1,0,0,0
tongue,tongue,15,12,4,4,1,0,0
tool,tool,5,2,1,12,14,4,0
toolbox,toolbox,0,1,1,2,15,18,2
tooth,tooth,30,7,1,0,0,0,0
toothbrush,toothbrush,30,7,1,0,0,0,0
toothpaste,toothpaste,23,8,2,3,1,0,1
toothpick,toothpick,35,3,0,0,0,0,0
top hat,top_hat,16,12,5,3,0,0,0
torch,torch,5,9,8,7,7,1,0
torpedo,torpedo,0,0,0,0,1,4,29
torso,torso,1,0,1,8,14,11,2
tortellini,tortellini,21,11,4,0,0,0,0
tortilla,tortilla,24,10,0,0,0,0,0
tostada,tostada,22,11,1,0,2,1,0
totem pole,totem_pole,0,0,0,1,2,10,21
toucan,toucan,1,14,7,8,5,2,0
touchpad,touchpad,22,9,4,1,1,0,0
towel,towel,17,12,2,2,1,1,0
towel rack,towel_rack,6,11,8,2,8,1,1
toy,toy,10,11,5,10,2,0,1
tractor,tractor,0,0,0,0,0,2,36
traffic light,traffic_light,0,1,0,0,4,19,15
trailer,trailer,0,0,0,1,2,11,24
train,train,0,0,0,0,0,2,33
train car,train_car,0,0,0,0,0,4,32
train set,train_set,1,4,8,6,12,8,1
trampoline,trampoline,0,0,0,0,7,20,11
trap,trap,1,3,5,8,11,10,1
trapdoor,trapdoor,0,3,7,6,16,4,3
trashcan,trashcan,2,3,5,5,13,10,1
tray,tray,8,8,6,7,4,2,0
treadmill,treadmill,0,0,0,0,1,16,23
treasure,treasure,0,0,0,4,11,17,7
tree,tree,0,0,1,0,4,6,28
tree trunk,tree_trunk,0,0,0,0,0,7,32
triangle,triangle,20,10,4,0,4,1,0
tricycle,tricycle,1,6,9,3,17,2,0
trident,trident,1,1,2,6,14,11,4
trigger,trigger,16,13,1,3,4,2,0
tripod,tripod,8,7,9,6,7,0,0
trolley,trolley,0,0,0,0,1,3,31
trombone,trombone,1,6,9,6,13,3,0
trophy,trophy,0,2,1,6,18,8,3
trough,trough,0,1,0,1,4,19,14
trowel,trowel,13,17,2,3,4,0,1
truck,truck,1,0,0,0,0,3,33
trumpet,trumpet,2,6,12,6,11,2,0
trunk,trunk,1,1,0,0,9,9,14
tuba,tuba,0,1,2,1,13,13,9
tube top,tube_top,26,9,0,0,1,0,0
tugboat,tugboat,0,0,0,0,0,2,37
tulip,tulip,25,8,2,1,1,0,0
tumbleweed,tumbleweed,22,10,6,1,0,0,0
tuning fork,tuning_fork,15,8,7,2,4,0,1
tupperware,tupperware,19,15,1,2,1,0,0
turban,turban,18,12,3,2,2,0,0
turbine,turbine,0,0,0,1,2,8,25
turf,turf,0,1,1,2,14,14,5
turkey,turkey,5,1,8,3,13,5,2
turnstile,turnstile,0,0,1,0,7,16,14
turntable,turntable,1,6,3,3,14,11,2
turtle,turtle,2,1,2,5,14,14,1
turtleneck,turtleneck,13,11,3,4,2,1,0
tuxedo,tuxedo,11,9,7,4,5,2,1
tweezers,tweezers,29,5,2,0,1,0,0
twig,twig,24,8,3,2,1,0,0
typewriter,typewriter,0,1,3,4,9,14,3
ukulele,ukulele,18,15,1,2,1,0,0
umbrella,umbrella,21,13,4,0,1,0,0
undershirt,undershirt,26,8,4,1,0,0,0
underwear,underwear,30,4,1,1,0,0,2
unicycle,unicycle,1,6,10,1,13,8,0
uniform,uniform,8,14,7,3,4,1,0
urinal,urinal,0,0,1,1,8,18,11
urn,urn,0,6,5,9,12,6,1
vacuum,vacuum,2,0,5,5,14,8,3
valve,valve,8,8,2,6,9,1,1
van,van,0,0,0,0,2,12,24
vase,vase,2,5,9,10,8,2,2
vegetable,vegetable,10,12,6,7,2,0,0
veil,veil,26,4,2,3,1,1,0
velcro,velcro,25,11,0,0,0,0,0
vending machine,vending_machine,0,0,0,0,0,3,33
vent,vent,6,11,5,7,6,2,1
vest,vest,20,10,4,2,1,0,0
vial,vial,26,9,1,1,0,0,0
videocassette,videocassette,25,10,1,1,0,0,0
videogame,videogame,17,9,4,3,2,2,0
viewfinder,viewfinder,1,0,1,3,7,14,11
violin,violin,6,17,7,4,4,0,0
vise,vise,0,0,3,2,9,14,10
visor,visor,28,8,1,0,0,0,0
volleyball,volleyball,14,14,6,2,0,0,0
vulture,vulture,0,2,1,7,17,7,4
wafer,wafer,28,9,0,0,0,0,0
waffle,waffle,22,12,1,0,2,0,0
waffle iron,waffle_iron,3,2,6,3,16,6,2
wagon,wagon,0,0,2,0,4,8,22
walker,walker1,7,15,6,0,7,0,1
walker,walker2,5,8,12,4,7,1,0
wall,wall,0,0,0,0,0,6,31
wallet,wallet,19,11,3,3,1,0,0
wallpaper,wallpaper,18,15,2,1,2,0,0
walnut,walnut,22,9,4,0,1,0,0
walrus,walrus,0,0,0,0,0,6,33
wand,wand,10,19,5,2,1,1,0
warthog,warthog,0,0,0,1,5,20,12
washboard,washboard,5,4,8,2,15,4,0
washcloth,washcloth,21,14,2,0,0,0,0
washing machine,washing_machine,0,0,0,0,0,12,25
wasp,wasp,28,9,0,0,0,0,0
watch,watch,21,13,4,1,0,0,0
water bottle,water_bottle,16,13,6,1,1,0,0
water cooler,water_cooler,0,0,0,1,12,10,17
water filter,water_filter,9,9,9,4,7,1,0
water fountain,water_fountain,0,0,1,1,4,15,14
water heater,water_heater,0,0,0,1,1,11,26
watering can,watering_can,5,10,8,6,8,0,0
watermelon,watermelon,1,3,1,1,17,11,5
waterwheel,waterwheel,1,0,0,0,2,11,22
wax,wax,11,10,11,1,4,2,1
wax paper,wax_paper,27,8,2,1,1,0,0
weasel,weasel,11,13,9,1,1,0,0
weather vane,weather_vane,1,2,9,4,14,8,1
webcam,webcam,21,10,3,1,0,0,0
wedding cake,wedding_cake,0,1,5,2,16,15,1
wedge,wedge,11,10,3,9,2,2,0
weed,weed,21,14,0,1,0,0,0
wetsuit,wetsuit,5,9,7,7,6,2,1
whale,whale,0,0,0,0,0,3,35
wheat,wheat,20,11,2,2,2,0,0
wheel,wheel,0,0,1,3,11,13,11
wheelbarrow,wheelbarrow,0,2,3,1,11,17,5
wheelchair,wheelchair,1,3,1,1,18,13,2
whip,whip,16,11,3,1,4,0,0
whipped cream,whipped_cream,25,6,3,2,0,1,0
whisk,whisk,22,12,1,1,0,0,1
whistle,whistle,31,7,1,0,0,0,0
whiteboard,whiteboard,0,3,3,5,15,10,3
whoopee cushion,whoopee_cushion,31,3,2,0,1,0,0
wick,wick,29,6,2,0,0,0,0
wig,wig,18,10,3,1,3,0,0
wind chimes,wind_chimes,11,15,4,8,2,0,0
window,window,0,2,4,5,10,15,3
windowsill,windowsill,3,3,10,6,12,2,1
windshield,windshield,1,1,2,1,7,19,6
windshield wiper,windshield_wiper,24,11,4,1,0,0,0
windsock,windsock,16,9,6,2,2,2,0
wine,wine,16,12,6,0,2,1,0
wine bottle,wine_bottle,11,8,5,5,8,1,1
wine cooler,wine_cooler,8,13,7,3,5,2,0
wineglass,wineglass,20,13,3,0,0,0,0
wing,wing,0,0,1,0,3,3,31
wire,wire,15,11,4,5,2,0,1
wire cutters,wire_cutters,10,11,6,4,8,0,0
wok,wok,4,9,6,6,10,3,1
wolf,wolf,0,1,1,2,10,22,3
woman,woman,1,4,2,10,10,9,2
wood,wood,0,0,2,2,8,18,9
wooden leg,wooden_leg,0,8,9,6,7,5,0
workbench,workbench,0,1,0,0,0,17,18
worm,worm,32,6,0,0,0,0,0
wrap,wrap,15,9,3,3,3,0,0
wrapping paper,wrapping_paper,23,12,2,0,0,0,0
wreath,wreath,6,13,7,3,5,0,1
wreck,wreck,1,0,1,7,4,10,14
wrench,wrench,4,7,6,5,10,4,2
wrist,wrist,8,15,7,6,1,1,0
xylophone,xylophone,13,11,7,6,3,0,0
yacht,yacht,0,0,0,2,0,2,33
yak,yak,0,0,0,0,2,8,29
yarn,yarn,22,9,1,2,1,0,0
yo-yo,yo-yo,26,6,2,0,0,1,0
yogurt,yogurt,13,18,2,0,4,0,0
yoke,yoke,0,1,5,2,11,10,5
yolk,yolk,26,8,1,0,2,0,0
zebra,zebra,0,0,0,0,1,11,27
zipper,zipper,23,12,0,0,0,0,0
zucchini,zucchini,12,17,2,5,3,0,0
